pde,level,level_idx,seed,epochs,lbfgs,e_global,e_posterior,l1_delta_loglik,w1,kl,tv,training_time_s
wave,L1,1,101,30,0,0.8612265981626122,0.6970646278508675,20753.705254640696,0.11615565012644735,37.977774597435726,1.0,4.2735209465026855
wave,L1,1,102,30,0,0.8558804748799395,0.7022145263687064,20490.789490406118,0.08834705578377564,37.850552344639226,1.0,4.2448813915252686
wave,L1,1,103,30,0,0.8270381750519792,0.6971337541386796,19861.37442037736,0.08293755550553532,38.31201922287915,1.0000000000000002,4.2636799812316895
wave,L1,1,104,30,0,0.8165284509502196,0.6438739607754624,17171.472455808645,0.16541020519431107,38.07162949790901,1.0,4.278446912765503
wave,L1,1,105,30,0,0.8687267709331147,0.6941487130269031,20739.07228348789,0.04309605133748034,37.827668327283575,0.9999723008132141,4.248770236968994
wave,L1,1,106,30,0,0.843532532216485,0.6780589502382012,19449.652561320443,0.057479314905441156,38.20595211573788,0.9999999999999052,4.253349781036377
wave,L1,1,107,30,0,0.8684980685829963,0.7256435066064827,22118.284899776827,0.12209372380776268,37.90176388807757,1.0000000000000002,4.275225877761841
wave,L1,1,108,30,0,0.7515520605551329,0.5714687658492631,12538.184757090849,0.1006235704405484,38.58490633027912,1.0,4.289560317993164
wave,L1,1,109,30,0,0.7919655416195187,0.6230049852315941,15573.910234460649,0.1338079855701893,38.303314163858225,1.0,4.244182825088501
wave,L1,1,110,30,0,0.8171954720442051,0.6386962342826956,17377.381197518742,0.026431572101690327,38.327638277260554,0.9999407050216376,4.272447347640991
wave,L2,2,101,100,0,0.4523529948277066,0.4149371915583945,4896.8005899966765,0.016645793137025095,38.98156071128403,0.9999956390607135,14.5164053440094
wave,L2,2,102,100,0,0.49870911143608687,0.4570050943167366,6178.449834239979,0.042023424902257814,39.218490413660085,1.0,14.536591529846191
wave,L2,2,103,100,0,0.4443974669527169,0.3998462686973025,4911.005503502849,0.010357854025001275,24.377017537753815,0.9976295061773026,14.620004892349243
wave,L2,2,104,100,0,0.51322823135806,0.46000063085458404,6526.208971796555,0.038688091962383854,39.17918457968231,1.0,14.563157558441162
wave,L2,2,105,100,0,0.5444244366630783,0.4711154852331623,7656.644352770615,0.04111496032216762,38.98223491109264,1.0,14.514305830001831
wave,L2,2,106,100,0,0.46485198945804607,0.4289282885603748,5421.816231329599,0.020364566418125778,39.22478526126324,0.9999999617960174,14.55626654624939
wave,L2,2,107,100,0,0.44498815186095686,0.4169530975206986,5239.37976637151,0.03951778126174312,39.32870922140023,1.0,14.510432958602905
wave,L2,2,108,100,0,0.5562893673649387,0.4895548118915391,8115.211807719176,0.02386712605209136,39.08329808128379,0.9999999968622655,14.544263124465942
wave,L2,2,109,100,0,0.48579840689048576,0.439587774220046,6217.941234880669,0.053299162780398944,39.24198509157117,1.0,14.508055448532104
wave,L2,2,110,100,0,0.48285796637662204,0.44536786601562306,6271.276659291864,0.05760558551738488,39.23171846311409,1.0,14.524138450622559
wave,L3,3,101,250,15,0.20938529718448495,0.1499913087290735,385.48885000212704,0.0031143328735082575,2.262268950867894,0.7225695555952747,39.100069999694824
wave,L3,3,102,250,15,0.13636157435535917,0.0938136136055947,151.63871090014771,0.0001396364765288726,0.0052709656251870105,0.03982157377484438,38.94990348815918
wave,L3,3,103,250,15,0.17074355497238203,0.14077941292593235,478.9686299327718,0.006171763295186398,8.806946770376378,0.9681118662186351,38.983588218688965
wave,L3,3,104,250,15,0.18445964375731794,0.11509085197748738,270.9512449740514,0.0002836108910231206,0.022749930221389145,0.08295821030909925,39.15441036224365
wave,L3,3,105,250,15,0.15231877296058471,0.09269270380703547,170.80972032376818,0.0021052404022514765,1.036327935223203,0.5424765057752964,39.2533323764801
wave,L3,3,106,250,15,0.24611775447347664,0.20899627610264862,1028.1389972754644,0.012468914713726567,34.40789834566429,0.999985448083237,38.98728919029236
wave,L3,3,107,250,15,0.18768734925726455,0.14345114723985555,460.6504732424105,0.0017237874477446908,0.6941585855487636,0.45420361810159615,39.18237543106079
wave,L3,3,108,250,15,0.20945308246606845,0.14177818635281147,581.1490959858221,0.022115087739809927,39.78109860391474,0.9999999999999989,39.10972857475281
wave,L3,3,109,250,15,0.19053630095821986,0.15556284512780863,614.5798066025097,0.004901388086716621,5.561097999808372,0.9116321892651985,38.877155780792236
wave,L3,3,110,250,15,0.15142326287451932,0.10666750538629666,297.5873405969084,0.000688879054817406,0.11199562862659367,0.18960177899740693,39.11874079704285
wave,L4,4,101,450,25,0.05020978382450811,0.03918790894200339,43.830902356924746,0.0006370841073393742,0.09429979537759671,0.17152725784638678,70.15116763114929
wave,L4,4,102,450,25,0.05462663012234205,0.045171541304650516,97.51078929946978,0.0072115791762944435,12.010076341990652,0.9868652752370759,70.21545624732971
wave,L4,4,103,450,25,0.06382478561917009,0.05235011237303362,44.82890520606997,0.0033254858320031977,2.5785629985652276,0.7441346253489941,70.20231437683105
wave,L4,4,104,450,25,0.03966153895249164,0.034803872323424856,44.60069163209587,0.005411590200542494,6.774584179051681,0.9368370016143708,69.96308946609497
wave,L4,4,105,450,25,0.08367567792780548,0.0648090009400741,163.01709974204107,0.0003064717378291593,0.021844591289493988,0.08279058729986331,69.98837471008301
wave,L4,4,106,450,25,0.05647280102696509,0.044505028807828875,43.31500934187656,0.0009179786074696136,0.1958834254871099,0.24779495366211066,70.1762900352478
wave,L4,4,107,450,25,0.046313087377102644,0.040398996671805625,50.768655804813285,0.004246528407900468,4.175820368669258,0.8499597480969822,70.25598669052124
wave,L4,4,108,450,25,0.037919021635162566,0.026641660434194334,23.98954412055032,0.0010871404294824339,0.2744754214996437,0.2896842748689667,70.10695910453796
wave,L4,4,109,450,25,0.08499672459413617,0.06268017316619735,71.15704084779463,0.0013075940758606624,0.39699280896225536,0.3419851194248052,70.04760432243347
wave,L4,4,110,450,25,0.07087918297951612,0.06108761660220128,106.75637260998316,0.005462176911118291,6.970068939324779,0.9396624029133372,70.14302134513855
wave,L5,5,101,550,35,0.039990518857175375,0.03431028798660952,42.00597750091053,4.9217103526000604e-05,0.0007677180421752721,0.014650427958561422,86.43715953826904
wave,L5,5,102,550,35,0.03972158586194702,0.0315539961229088,30.08068160521898,0.000328053434444887,0.025179604550743313,0.09003350903657442,86.63229942321777
wave,L5,5,103,550,35,0.03851146984676887,0.028513239970965318,18.480958667338108,0.0019671024167672,0.898053326005665,0.4940010286795828,86.42390322685242
wave,L5,5,104,550,35,0.04273392739084998,0.03318507382220795,43.35663962034063,0.0011880949488539097,0.3278134683360118,0.3130422896587398,86.48370671272278
wave,L5,5,105,550,35,0.042739066062216384,0.03556987858293334,39.09595709329471,0.00168800622560953,0.6613933207088298,0.4345379042927488,86.34936666488647
wave,L5,5,106,550,35,0.03721108746148136,0.02717854946583534,14.299267208687658,0.0016947609987743666,0.667480135666261,0.44304962159452543,86.55319213867188
wave,L5,5,107,550,35,0.03224679323724601,0.022103868325189503,26.106941096452708,0.0020490744962013726,0.9743898667103962,0.5101842352505197,86.37354350090027
wave,L5,5,108,550,35,0.03529174055251658,0.02657283144089631,22.547486257211954,0.004108205848594728,3.908866374808113,0.8421573039836093,86.38891696929932
wave,L5,5,109,550,35,0.0322174489790677,0.023689054504048002,10.979412633019553,0.0014505392795830033,0.4897674992566559,0.38021365087926007,86.50382804870605
wave,L5,5,110,550,35,0.045460420725612447,0.037100278150606535,39.36335109545635,0.0005632614451472775,0.07418375785375302,0.15151410858875042,86.54027485847473
wave,L6,6,101,800,50,0.02364725057917248,0.018264841215981608,13.82716089494632,0.0015722396775200954,0.5738098097761838,0.4082441501084195,125.79019737243652
wave,L6,6,102,800,50,0.024812789084139926,0.017886380293231967,10.87325972674815,0.002297107860878594,1.2241339872048047,0.5676378571803831,130.06079936027527
wave,L6,6,103,800,50,0.02473331464601242,0.019099059779392812,13.993436202426224,0.0006840619543505797,0.10894334228921006,0.18416976900343052,126.68116641044617
wave,L6,6,104,800,50,0.02314605015711629,0.015343103093858128,9.232055674309539,0.001160333344992664,0.31265666673625997,0.30689866113033343,126.79386377334595
wave,L6,6,105,800,50,0.03562279639111715,0.03229003147788368,34.84581529000462,0.0022536641241467275,1.1782523619358491,0.5561107321224609,126.61781120300293
wave,L6,6,106,800,50,0.025065340098159913,0.02256018391742906,16.910532699059985,0.0002935072041997241,0.02002068169211824,0.07983314218805486,126.70361042022705
wave,L6,6,107,800,50,0.025619440051605692,0.018660275675052792,5.15132927916787,0.0029166507663550265,1.9722579388848274,0.6765773959039185,126.61076998710632
wave,L6,6,108,800,50,0.030098527376244907,0.023898949652598537,19.424581067136877,0.0014547353826372214,0.4913013425573559,0.37908796861042865,127.28713822364807
wave,L6,6,109,800,50,0.022830639523884123,0.019056615616774596,16.12413712426483,0.00237225735040329,1.3054326562718161,0.5831628274290066,127.24507236480713
wave,L6,6,110,800,50,0.025126415179082144,0.021261747544110053,16.036566651868572,0.0010974497107930949,0.2798111352126342,0.29019040772348575,127.02747869491577
