sensor_count_M,geometry,posterior_mean,posterior_std,concentration_index,w1_quadrature,calibrated_bfr
10,uniform,0.5156756581076453,0.011846412988080174,84.41373781297318,0.004181514925303819,7.226594159040846
10,clustered,0.4988251869179579,0.02337096266281708,42.78813904362561,0.009192975460935808,15.887520182742769
10,informative,0.5013207074084466,0.007488341907038939,133.54091098057552,0.003867498898587112,6.683904147154475
20,uniform,0.5055672268084718,0.00781395625786275,127.97614511775075,0.004744825718121746,8.200121351415254
20,clustered,0.5160221845085222,0.018314203782875606,54.60242835864006,0.010004163034038635,17.289433958584542
20,informative,0.4972307351997598,0.004433271601726504,225.56705066537265,0.003927498414862488,6.787596746991221
40,uniform,0.49629662730142415,0.0055015921906028725,181.76556265076758,0.0021893428923660282,3.783674778336557
40,clustered,0.5039082462172986,0.012355850275325996,80.93332127833801,0.00943547737492262,16.30661779365133
40,informative,0.49834899401957783,0.003167572599425581,315.6991571973263,0.003965331524484254,6.852980832399248
80,uniform,0.5009761764882655,0.0037882088108758985,263.9770007210302,0.0024470894159631545,4.2291184883825625
80,clustered,0.49627921715995166,0.00785166976410264,127.36144413153234,0.009854869654642997,17.03142156766964
80,informative,0.5005244185088322,0.0020603831782288417,485.34661443878883,0.0039267098123137905,6.786233865195024
160,uniform,0.5007713807156425,0.002579292304195462,387.70324649649274,0.0021264514058230827,3.674984206277527
160,clustered,0.501795806785088,0.005867360078522056,170.43440092599403,0.010261848876705613,17.73477279839495
160,informative,0.49664069353932144,0.0014341063232486465,697.2983688787622,0.0037955988385030945,6.559644742723414
320,uniform,0.4986112065295131,0.0017897072769382132,558.7505917228963,0.0019068033686364559,3.295383212156399
320,clustered,0.49346028625557925,0.003930942869230646,254.39189356514797,0.010008938024291212,17.29768621100625
320,informative,0.49936637474250817,0.0010166057246961402,983.6655211624904,0.003803786632075101,6.573795083511351
