pde,level,seed,e_global,e_posterior,l1_delta_loglik,w1,kl,tv,training_time_s
heat,L1,101,0.7697957825391418,0.6870526136066255,2224.6271994749686,0.7517350914343351,37.21649303455799,1.0,2.565434694290161
heat,L1,102,0.8079109361565677,0.7504493613104685,2172.266367635845,0.9699003501284391,37.284346085248146,0.9999999999999998,2.3326447010040283
heat,L1,103,0.7585454660810109,0.6623594354465914,1762.993451532898,0.6346260789912938,37.17749722963314,1.0,2.3308138847351074
heat,L2,201,0.760415930008698,0.6892893394485953,1750.5531052715578,0.4343058209707714,37.3051457598695,1.0,7.419581413269043
heat,L2,202,0.6743846363008538,0.59102432627081,1357.1534646802972,0.3654639216545519,37.55646914461287,0.9999999999999998,7.455523490905762
heat,L2,203,0.6666963100894623,0.5838293796026393,1289.5834886838838,0.2981506947979109,37.68542837848256,0.9999999999999998,7.401837587356567
heat,L3,301,0.3001336903031632,0.25944086688314777,181.54910849180726,0.07135891308588596,38.50265931957874,0.9999999999999998,19.00525736808777
heat,L3,302,0.21509519276094116,0.1655849561552927,36.37234816746992,0.026508887277780804,19.381390685628826,0.9980093886079098,19.025967121124268
heat,L3,303,0.57888767729469,0.5237466154732402,1080.3677941941125,0.2433143867006973,37.9614038957703,0.9999999999999998,18.867411851882935
heat,L4,401,0.04187044960510283,0.030535388280744414,3.5996854968876733,0.008183364189479203,2.0651640112817073,0.6918266600604106,45.38088297843933
heat,L4,402,0.12224841989336736,0.05204781722353109,32.366024820114625,0.018631314607141406,9.822627840095375,0.9681937060904742,45.383742332458496
heat,L4,403,0.13187354576408608,0.10586581083208012,10.075023947002324,0.010499496269892822,3.2024630142745614,0.8003020569803732,44.749878883361816
heat,L5,501,0.019888639110699782,0.02079042796360695,1.0628800035741626,0.00039736836614326945,0.004735979992640738,0.03877383443660029,94.95687770843506
heat,L5,502,0.01395542926768199,0.016324551562803356,1.9671795973179853,0.0033098448542866576,0.32547594488439435,0.31303966116486254,94.80853724479675
heat,L5,503,0.022697435880026387,0.01700400017736641,1.9563778942156547,0.0005361997864200831,0.00867584080581275,0.05244609228479421,94.78282976150513
