pde,level,seed,e_global,e_posterior,l1_delta_loglik,w1,kl,tv,training_time_s
advection_diffusion,L1,101,0.9413979397106129,0.9633684143026164,24758.693105457314,0.974494687158471,37.607044342777904,0.9999999999999999,2.390340805053711
advection_diffusion,L1,102,0.9900053194178207,0.9914156073991319,22406.593913010656,0.09363422072071925,37.16172498959439,0.9999995421548111,2.3516852855682373
advection_diffusion,L1,103,0.9436742273509157,0.9589967727908092,22867.76151568871,1.000505779988569,40.544533577615375,0.9999999999999999,2.3585262298583984
advection_diffusion,L2,201,0.9461635600579111,0.9564770980594552,23328.556021410022,1.0009220992793826,41.16995979875387,1.0000000000000002,7.463048696517944
advection_diffusion,L2,202,0.9018916743394587,0.9321791363548869,21377.291649090115,0.9958408384213027,38.73793505422799,1.0,7.5066773891448975
advection_diffusion,L2,203,0.9027014426160733,0.9276722922903581,21448.984169060503,1.000928568139671,41.183715023125544,0.9999999999999999,7.428807735443115
advection_diffusion,L3,301,0.2541777671684596,0.19609385006407196,284.17934052529034,0.019694617627279466,37.011234819385336,0.9999948714615964,19.31181049346924
advection_diffusion,L3,302,0.2542927476312815,0.1865350340855517,301.0472841037251,0.02322708085643856,39.1816774027922,0.9999999487986242,19.280763864517212
advection_diffusion,L3,303,0.7954518919230954,0.7690123130312361,13583.214874470148,0.37036821079953475,37.84274585287338,1.0,18.996487140655518
advection_diffusion,L4,401,0.0875343036493911,0.04570725977586118,3.311605815133856,0.002145492626768076,0.5133935557856686,0.39154297436321117,45.713826417922974
advection_diffusion,L4,402,0.08450266513097324,0.040459038274704734,1.5643930979687175,0.003196875962087316,1.139224860655429,0.5543096855758877,45.695658922195435
advection_diffusion,L4,403,0.1292492487922626,0.07399938456548913,19.931642395928133,0.0029346832617754494,0.9631302719020515,0.5224948695691325,45.333142042160034
advection_diffusion,L5,501,0.01941838770009955,0.012131244464781255,2.035242236973204,0.0009452801822743466,0.0996840158806476,0.1763678637045187,95.48350787162781
advection_diffusion,L5,502,0.023070454367369417,0.01723963572159672,4.318254437927735,0.003770546692528467,1.5837177016113502,0.6273626434579669,95.746830701828
advection_diffusion,L5,503,0.020975724864043643,0.010995043186261773,1.3031602686918973,0.001902367044434945,0.4037353528085373,0.3458631451780541,95.59222722053528
