pde,pde_class,n_models,r_global,rho_global,r_posterior,rho_posterior,r_loglik,rho_loglik,r_collinearity,williams_ep_eg_t,williams_ep_eg_p,williams_lik_eg_t,williams_lik_eg_p,pert_w1_support,pert_kl_support,pert_w1_tail,pert_kl_tail,distortion_ratio
heat,Parabolic Diffusion,15,0.8873046817017253,0.982142857142857,0.8961624405882199,0.9714285714285713,0.9554023647820534,0.9964285714285712,0.9982133537467389,1.2027444485183776,0.2522696718032815,3.3910383035080187,0.005357712250231517,0.0015651496079694925,0.2447816390094817,0.0,-5.173463017748281e-17,1565149607969.4924
wave,Hyperbolic Wave,15,0.5288107279568772,0.8285714285714284,0.5317352977880829,0.8107142857142855,0.6331144679851481,0.8571428571428571,0.9967946587838703,0.1494284056490675,0.8836975933194069,1.7049698111091465,0.11392815812709345,2.351953175513395e-13,2.3226446246712735e-11,0.0,-1.7789235489593173e-17,235.19531755133946
advection_diffusion,Transport + Diffusion,15,0.8376599987703779,0.8642857142857141,0.8519930257476708,0.825,0.8810423261305206,0.8821428571428571,0.9985492518530092,1.9881621450812785,0.07009465293035722,1.6093432123415645,0.13351689011265333,8.861346568578915e-13,6.12733400499799e-11,0.0,-2.5552835055972487e-17,886.1346568578914
burgers,Nonlinear Convection-Diffusion,15,0.7569444016614423,0.825,0.7787290106135722,0.8107142857142855,0.767820972832862,0.8285714285714284,0.9908848416086874,0.9046460892856241,0.38345582420499236,0.2477952867993645,0.8084820688662766,3.1812648518091892e-06,0.00234702035333337,0.0,-5.416584199314665e-18,3181264851.809189
