delta,mass_support,mass_tail,w1_support,tv_support,tv_theory,w1_tail,tv_tail,distortion_ratio
1.0,0.48813139142459583,1.4571012971008908e-249,0.0005056673481325216,0.23348962271086007,0.23348962271086007,5.774790223433375e-20,1.2512555304147714e-16,5056673481325.217
2.0,0.48813139142459583,1.4571012971008908e-249,0.0008394005041402918,0.3875894058393051,0.387589405839305,5.774790223433375e-20,1.2512555304147714e-16,8394005041402.918
5.0,0.48813139142459583,1.4571012971008908e-249,0.0010933567857575991,0.5048525761801715,0.5048525761801715,5.774790223433375e-20,1.2512555304147714e-16,10933567857575.992
10.0,0.48813139142459583,1.4571012971008908e-249,0.001108448274432325,0.511821003170399,0.511821003170399,5.774790223433375e-20,1.2512555304147714e-16,11084482744323.25
15.0,0.48813139142459583,1.4571012971008908e-249,0.0011085506785209337,0.5118682877975405,0.5118682877975406,5.774790223433375e-20,1.2512555304147714e-16,11085506785209.338
20.0,0.48813139142459583,1.4571012971008908e-249,0.0011085513685470953,0.5118686064140193,0.5118686064140192,5.774790223433375e-20,1.2512555304147714e-16,11085513685470.953
