pde,level,level_idx,seed,epochs,lbfgs,e_global,e_posterior,l1_delta_loglik,w1,kl,tv,training_time_s
burgers,L1,1,101,30,0,0.5489500790219936,0.5755748557041309,1017.3359007995606,0.03000280835170763,42.79239560877519,1.0,3.592642307281494
burgers,L1,1,102,30,0,0.39609920711090835,0.3802958103502912,649.769666601648,0.029423967668790525,40.84984066838364,0.9999999999999999,3.603672504425049
burgers,L1,1,103,30,0,0.40313491107503935,0.4960769197532445,1018.0030282113283,0.01802903233047134,39.84115159182576,1.0,3.611799955368042
burgers,L1,1,104,30,0,0.5117233676227114,0.5316428327218297,1177.6182522976633,0.03189905810896343,39.49793870272628,0.9999999999999999,3.5933728218078613
burgers,L1,1,105,30,0,0.41862415146671644,0.4131927280368072,497.19295519171817,0.02148301825179703,39.6673498990838,0.9999999999999999,3.609095335006714
burgers,L1,1,106,30,0,0.42130886574927656,0.4042157085803603,768.3898954291608,0.025066607988405216,39.36569918465394,0.9999999999999997,3.6115002632141113
burgers,L1,1,107,30,0,0.391262475533574,0.4941063324268674,956.1117465554713,0.006709947748432044,40.000999116389366,0.9999958559959483,3.6154732704162598
burgers,L1,1,108,30,0,0.40787111796335523,0.38873605484153645,584.3601081992405,0.006892745798282657,39.04119430477077,0.9993771232837486,3.6084392070770264
burgers,L1,1,109,30,0,0.43957386779597707,0.4686787258637025,795.243700746986,0.01964591858088859,39.580403885776725,1.0,3.5950679779052734
burgers,L1,1,110,30,0,0.4007114352033307,0.36948176577815434,310.479389948972,0.004903694922130362,35.866172877729696,0.996849895304198,3.6000967025756836
burgers,L2,2,101,100,0,0.3135810181269767,0.3871414006184201,608.1820678560849,0.007762214964501721,39.93914109315776,0.9999993484619455,12.541954517364502
burgers,L2,2,102,100,0,0.485626098221828,0.5001819750964699,772.0997801701176,0.005106982981551169,36.09320360464546,0.9975125880440405,12.514833211898804
burgers,L2,2,103,100,0,0.22913441100956672,0.2973145326541641,337.1330949790235,0.014811219810776507,39.9141976636058,1.0,12.603815078735352
burgers,L2,2,104,100,0,0.2960870949392716,0.3583558583158062,548.4332952323444,0.016239877251299797,39.93277544075889,0.9999999999999999,12.510353326797485
burgers,L2,2,105,100,0,0.28818390351212675,0.3640467758552773,581.8454120054959,0.02234596541318692,39.86675509785205,0.9999999999999997,12.530171394348145
burgers,L2,2,106,100,0,0.24122154822758682,0.29898925326855047,329.60138254095443,0.018127008043606303,39.94694158913991,1.0,12.530319690704346
burgers,L2,2,107,100,0,0.24144347711519334,0.3079589874407694,346.4306372927564,0.018363654760600204,39.91035376281128,0.9999999999999999,12.53295087814331
burgers,L2,2,108,100,0,0.309410905449378,0.3645643109171407,538.504040145355,0.01798264585770662,39.87205648023352,0.9999999999999999,12.516793012619019
burgers,L2,2,109,100,0,0.35865822799933483,0.393883896990205,594.823931600113,0.004374682200345542,33.072664592961864,0.9940589961248397,12.4970383644104
burgers,L2,2,110,100,0,0.3171099057610489,0.3545389701387768,498.2388391129171,0.013383858818102012,39.878507556771204,0.9999999999999997,12.547965288162231
burgers,L3,3,101,250,15,0.08943511637924238,0.1046109967842458,41.45814254538505,0.0009626884032902774,2.030786900912935,0.617029778403502,34.13643741607666
burgers,L3,3,102,250,15,0.16123572845576142,0.1751877698031662,73.62152105573975,0.010074063192085586,39.89228598452822,0.9999999996746737,33.99571466445923
burgers,L3,3,103,250,15,0.19262320793692486,0.2488507247615385,150.24387951537705,0.007332099417321989,40.09261381257825,0.9999998115855252,33.84186553955078
burgers,L3,3,104,250,15,0.11749847913669388,0.12774602657318557,28.77296604513415,0.0036330229708159893,27.696299293420285,0.9955985094142502,34.088998794555664
burgers,L3,3,105,250,15,0.0865562283310748,0.07950823726281356,22.280915305176052,0.0010428991893915377,2.4318831400588565,0.6360148685641216,34.20583748817444
