pair_idx,w1_control
1,0.0007155676695051626
2,0.00029875604318584743
3,0.0006297454874653913
4,0.000542169411360504
5,0.0003801454602456187
6,0.0005476323863294865
7,0.000635575669861763
8,0.0004388300495508406
9,0.00046356122259026716
10,0.0006132199326549698
11,0.0003720181131659887
12,0.000498905802725713
13,0.0005930382356488322
14,0.0006228679042000062
15,0.0004539882457662127
16,0.0008432199410562258
17,0.00045133267608107554
18,0.00047276906453246813
19,0.00039345624086738467
20,0.0009897724143933897
21,0.0010906649186051601
22,0.0006498303694712298
23,0.0008362182885270728
24,0.0006515807907304828
25,0.0003560226506763007
26,0.0008126860650548843
27,0.0005191717214057052
28,0.0004046400985747713
29,0.000683216223815181
30,0.0005438601926975784
31,0.0005656937596432821
32,0.0005326790589590851
33,0.0006832565159238811
34,0.0008824395101410319
35,0.0006662747717086311
36,0.00044645034193024414
37,0.0009052938618314925
38,0.0005443364630230514
39,0.00032576769278192246
40,0.0002738577515242057
41,0.000727812192986235
42,0.0007739964711204764
43,0.0004818274430081671
44,0.00035836849093776995
45,0.000424702902695692
46,0.000596407455960638
47,0.00044649344702464105
48,0.0003546188836036772
49,0.0005324948652058615
50,0.0009042008091696076
