sensor_count_M,mean_exact_std,mean_ci_width,mean_w1_research,std_w1_research,mean_w1_control,mean_bfr,std_bfr,median_bfr,mean_bias,mean_abs_bias,mean_var_ratio
20,0.00822258123581233,0.03147501383600091,0.0019509408793184635,0.0006321114034420902,0.001011161869018924,2.149468934122697,1.017151499997216,2.2907830781159393,-0.0018951699841056823,0.0018951699841056823,1.0620603559554074
40,0.0055417448857370145,0.021506008844909642,0.002614627429889076,0.0003318491322084193,0.00064870104642395,4.438162420244046,1.1603918914249574,5.172118131335569,-0.0026103976411079423,0.0026103976411079423,0.9794229863275656
80,0.003777382457926988,0.014748861891816022,0.00215359706401469,0.000655492392064685,0.0006074442235525248,4.6827300608479705,2.909416504155723,3.8045055419266753,-0.0021495963826168698,0.0021495963826168698,1.0535197540973384
160,0.0027640577685586324,0.010905757340720846,0.00241962781979718,0.0002670572596132779,0.0003235476042734647,7.899876693368164,1.8800984668722287,6.422274560876739,-0.002415312957455673,0.002415312957455673,0.9452628669141176
