pde,pde_class,n_models,df,r_global,rho_global,r_posterior,rho_posterior,r_loglik,rho_loglik,r_collinearity,williams_ep_eg_t,williams_ep_eg_p,williams_lik_eg_t,williams_lik_eg_p,partial_r_global,partial_r_posterior,partial_r_loglik,within_level_stats
heat,Parabolic Diffusion,60,57,0.8746863860265975,0.8306196165601558,0.8878430337366459,0.849291469852737,0.971801060554216,0.8740205612670189,0.9987219218556301,4.987712045169305,6.060896680537553e-06,10.1185664223183,2.4424906541753444e-14,0.7247535120336385,0.7594706788171857,0.9425729135931958,"[{'level': 'L1', 'n': 10, 'r_eg': 0.5728913104531056, 'r_ep': 0.7794723822410985, 'r_lik': 0.9231037009131452}, {'level': 'L2', 'n': 10, 'r_eg': 0.9620029711761611, 'r_ep': 0.9766654348352527, 'r_lik': 0.9934446092472178}, {'level': 'L3', 'n': 10, 'r_eg': 0.7607076131496175, 'r_ep': 0.6950570726566442, 'r_lik': 0.9477151421687329}, {'level': 'L4', 'n': 10, 'r_eg': 0.08604247942711497, 'r_ep': 0.2740024692265947, 'r_lik': 0.43905432769681163}, {'level': 'L5', 'n': 10, 'r_eg': 0.22063674065887556, 'r_ep': 0.29585021424536445, 'r_lik': 0.2734184574254063}, {'level': 'L6', 'n': 10, 'r_eg': 0.12007635402323916, 'r_ep': 0.23203002266005304, 'r_lik': 0.4898553851730766}]"
wave,Hyperbolic Wave,60,57,0.8535092712196554,0.7514865240344543,0.8412586058088433,0.7546540705751599,0.8587071301992669,0.7677688246735205,0.9962118761213481,-2.0808472762246595,0.041952360094643426,0.27317651008079563,0.7857048889348226,0.6821450267423411,0.6401485107235677,0.682165904620975,"[{'level': 'L1', 'n': 10, 'r_eg': -0.20134667322010016, 'r_ep': -0.11731095144234659, 'r_lik': -0.17494363089896}, {'level': 'L2', 'n': 10, 'r_eg': 0.2614103839357097, 'r_ep': 0.37086359498071336, 'r_lik': 0.3406780008477879}, {'level': 'L3', 'n': 10, 'r_eg': 0.6246717159434529, 'r_ep': 0.5292196182287221, 'r_lik': 0.6432125254513622}, {'level': 'L4', 'n': 10, 'r_eg': -0.2524557216825833, 'r_ep': -0.07327203041230065, 'r_lik': 0.07031110358679032}, {'level': 'L5', 'n': 10, 'r_eg': -0.48673986976438033, 'r_ep': -0.5452632039674554, 'r_lik': -0.46737052245780697}, {'level': 'L6', 'n': 10, 'r_eg': 0.20606785259224386, 'r_ep': 0.06665009056729426, 'r_lik': -0.03764750490993785}]"
advection_diffusion,Transport + Diffusion,60,57,0.8851432833747714,0.7822172825784941,0.8985731596035724,0.7887746596276745,0.9752512400883543,0.8052236732425675,0.9984616668500343,4.794625796712291,1.2087124206194844e-05,13.83285968980058,0.0,0.7753964920665772,0.8003864423534578,0.9540214698365943,"[{'level': 'L1', 'n': 10, 'r_eg': -0.1293528005862507, 'r_ep': -0.062137436580812444, 'r_lik': -0.41866203883100384}, {'level': 'L2', 'n': 10, 'r_eg': 0.8663289546957567, 'r_ep': 0.8892373731082904, 'r_lik': 0.9382567142950848}, {'level': 'L3', 'n': 10, 'r_eg': -0.3299548144899933, 'r_ep': -0.29619346553821485, 'r_lik': -0.14458261959412108}, {'level': 'L4', 'n': 10, 'r_eg': 0.1486729135969579, 'r_ep': 0.38457632296337196, 'r_lik': 0.21123803218680942}, {'level': 'L5', 'n': 10, 'r_eg': 0.32523822329151136, 'r_ep': 0.3798168361710823, 'r_lik': 0.8364462075057545}, {'level': 'L6', 'n': 10, 'r_eg': -0.11182847801467749, 'r_ep': 0.14066200143031263, 'r_lik': 0.33735420928638543}]"
burgers,Nonlinear Convection-Diffusion,60,57,0.8221763190356225,0.7480966935259796,0.8272021791237527,0.7408724645734928,0.8257228063658791,0.789719366490692,0.988000955154391,0.4365901394011518,0.6640580029444401,0.14891394896596866,0.8821471421927147,0.536278142145107,0.5531376313341011,0.584229193790728,"[{'level': 'L1', 'n': 10, 'r_eg': 0.6328501828472091, 'r_ep': 0.40418927619694645, 'r_lik': 0.4926896429554717}, {'level': 'L2', 'n': 10, 'r_eg': -0.712091396736949, 'r_ep': -0.6749188080665145, 'r_lik': -0.5792398387833914}, {'level': 'L3', 'n': 10, 'r_eg': 0.9080730285670118, 'r_ep': 0.843851759694408, 'r_lik': 0.6655262538059237}, {'level': 'L4', 'n': 10, 'r_eg': 0.9890437752435339, 'r_ep': 0.9939710821424216, 'r_lik': 0.9967036921870046}, {'level': 'L5', 'n': 10, 'r_eg': -0.6358806990441539, 'r_ep': -0.8616001798220368, 'r_lik': -0.2010158554119296}, {'level': 'L6', 'n': 10, 'r_eg': 0.4378865629458333, 'r_ep': 0.47515453411396524, 'r_lik': 0.7607009863308988}]"
