pair_idx,w1_ctrl
1,0.00012398222562633724
2,0.00016510778151999122
3,0.0002913984550233114
4,7.861241208706877e-05
5,0.00016693451489444073
6,0.0002016037316003309
7,0.0001545566312802544
8,0.0001692570553085471
9,0.00017835624007007258
10,0.0002676064569861561
11,0.00016478890012938682
12,0.00024534544938660063
13,0.00012764743689625902
14,0.00017893627775246814
15,0.00014911418398941617
16,0.0001402998611968528
17,0.0002567974853855683
18,0.00011400684445126505
19,0.00011167700214599613
20,0.00029549899889000353
21,0.00017955136800605682
22,0.0001426403461817498
23,0.0002284645892772159
24,0.00013406276196081669
25,0.0002550815540896926
26,0.00020127346531972716
27,0.00010505492540277374
28,0.0001702656245825631
29,0.00011203698645000444
30,9.3926526816851e-05
31,0.00022080939966956785
32,0.00025011018827216603
33,0.00013266418763035483
34,0.00016604976491253634
35,0.00024863573176094023
36,0.00018412233327625644
37,0.00014639597050819544
38,0.0004969451774002622
39,0.00012675844349773217
40,0.00018729305487465104
41,0.0002922026018081396
42,0.00015703998274343926
43,0.00010867150972795661
44,0.00019266476673667377
45,0.00019093002968599218
46,9.451990819124689e-05
47,0.00014046189787537858
48,0.00019634686225698513
49,0.00014139963514742568
50,0.00017867219039667773
