pde,level,level_idx,seed,epochs,lbfgs,e_global,e_posterior,l1_delta_loglik,w1,kl,tv,training_time_s
heat,L1,1,101,30,0,0.7927053482757259,0.7251846937531029,2528.786333824196,0.872256499889865,37.411902624009024,0.9999999999999998,4.91324520111084
heat,L1,1,102,30,0,0.7237657864465242,0.6240155410121102,1918.930041904896,0.6647920601497983,37.06831795398813,0.9999999999999998,3.5641722679138184
heat,L1,1,103,30,0,0.7183816400979801,0.60437025380001,1475.6224314891822,0.308275743931646,37.73331453584678,0.9999999999999998,3.586142063140869
heat,L1,1,104,30,0,0.648198958813412,0.5476570856330659,1132.2784156299133,0.2924846586731468,37.67976635526801,1.0,3.7257893085479736
heat,L1,1,105,30,0,0.7561950729236742,0.627436915707467,1322.4348208540366,0.36256267197106945,37.47188379834848,1.0,3.5835022926330566
heat,L1,1,106,30,0,0.7407886492834878,0.6076745388107946,1431.1133884969322,0.26668501815203255,37.79073153837627,1.0,3.6151604652404785
heat,L1,1,107,30,0,0.7459267081751082,0.6649253410661803,1944.8602510752337,0.4347662242866417,37.659095683162526,0.9999999999999998,3.616637706756592
heat,L1,1,108,30,0,0.6947682949927753,0.5895313593096578,1317.5999258233821,0.3301365951300243,37.583650224966895,0.9999999999999998,3.6363351345062256
heat,L1,1,109,30,0,0.7064015267851044,0.6021100066350881,1747.939449537218,0.5059317351821994,37.45412540716817,1.0,3.583261013031006
heat,L1,1,110,30,0,0.7137614495368587,0.5928675890735254,1291.5411929823797,0.27263526861795373,37.68701145946222,1.0,3.6243526935577393
heat,L2,2,101,100,0,0.4409197180059692,0.373238657962593,510.30787803399556,0.14018252023713978,38.257094100078874,0.9999999999999998,12.56078028678894
heat,L2,2,102,100,0,0.6190210090839944,0.5457694596771933,1059.467934408908,0.22375403765735657,37.97773493142574,0.9999999999999998,12.506807088851929
heat,L2,2,103,100,0,0.39672986964226914,0.3396971128997008,454.6918314231239,0.12549890898467808,38.3789960827692,1.0,12.670283794403076
heat,L2,2,104,100,0,0.5513454949485999,0.4739888625261113,834.8512372601344,0.18496046006211198,38.08328652734106,0.9999999999999998,12.541048049926758
heat,L2,2,105,100,0,0.5777127026673129,0.4935526941395764,908.0552365813191,0.21238419747230372,37.970799407497765,1.0000000000000002,12.513477325439453
heat,L2,2,106,100,0,0.5058310771233688,0.4059733385138273,565.1417895138984,0.14286091406350437,38.260262782445004,0.9999999999999998,12.662015199661255
heat,L2,2,107,100,0,0.43992314813966077,0.3803031356493259,424.4005864721978,0.12187371726049355,38.27692217351299,1.0000000000000002,12.62391185760498
heat,L2,2,108,100,0,0.5706438510393537,0.48620717321213847,875.4492353777767,0.20018532622563806,37.99838609644699,1.0,12.637901306152344
heat,L2,2,109,100,0,0.4205148798744943,0.33497667482329974,322.0881647875391,0.10762418652036929,38.347568638727864,0.9999999999999998,12.668187618255615
heat,L2,2,110,100,0,0.41040828395073575,0.36627140078065223,449.3771649367999,0.12008922477111904,38.31294928347869,0.9999999999999998,12.685055017471313
heat,L3,3,101,250,15,0.13813026055857555,0.10103069120182159,35.32824408209464,0.011577942903436484,3.893126194483719,0.8579079482783555,34.601824045181274
heat,L3,3,102,250,15,0.1220228130221849,0.09447963491062705,6.51927127230027,0.0022232628376030387,0.15002027626208592,0.218310646632293,34.388697385787964
heat,L3,3,103,250,15,0.08023883562048185,0.046302868265697475,8.999764025850292,0.001986238381284967,0.11924163919599133,0.19303508168398067,34.17522120475769
heat,L3,3,104,250,15,0.08970038326840074,0.06566163197399401,9.604908722442868,0.0008381455210224729,0.03556462428751761,0.1004184384062906,34.41271257400513
heat,L3,3,105,250,15,0.050638771472774936,0.04531631619586728,5.850908367760538,0.004601822120776848,0.6457355451760782,0.4348936207843777,34.51360774040222
heat,L3,3,106,250,15,0.18317288168356566,0.12140467388492476,79.90116575572941,0.039347589956009336,36.62116422914103,0.9999990191238969,34.133323192596436
heat,L3,3,107,250,15,0.10146756033704309,0.07085780520362568,11.671301168560943,0.012548067837926204,4.567864578341347,0.8954266545887539,34.50139832496643
heat,L3,3,108,250,15,0.10773485857839862,0.0823153952246884,13.449080781818715,0.0021131867608257804,0.13535616951832774,0.20744903583368313,34.465996742248535
heat,L3,3,109,250,15,0.06978610665121282,0.05957329718249371,10.421850608281163,0.0024965512109316264,0.19070069824626093,0.24752696434054974,34.10637664794922
heat,L3,3,110,250,15,0.0683390529385808,0.059036152194096754,12.968419733815983,0.007813539280901291,1.880429523354358,0.6721576261583994,34.355690240859985
heat,L4,4,101,450,25,0.028861791817706255,0.024923957640573115,2.3973429412483696,0.0011995506445441398,0.0430473842254079,0.11634474562258428,61.7703914642334
heat,L4,4,102,450,25,0.029804277902743145,0.02996511717725974,4.749908146754737,0.004938858165976639,0.7446868677295624,0.46381770478929946,61.776180267333984
