pde,level,seed,e_global,e_posterior,l1_delta_loglik,w1,kl,tv,training_time_s
burgers,L1,101,0.5965686282505637,0.7007901547530064,1184.1468962968004,0.017687897849993018,39.50164844399141,0.9999999999999997,2.323112964630127
burgers,L1,102,0.45782716532168793,0.47966037286290314,838.3647073892179,0.028076810210440995,39.96613123226549,0.9999999999999997,2.319425344467163
burgers,L1,103,0.5978620067019734,0.646596649299232,820.5721172653099,0.026022228229645384,39.296015555023686,0.9999999999999997,2.3242075443267822
burgers,L2,201,0.46164000269537503,0.4730903872645605,880.7205579033943,0.029953018770503805,42.37242851300468,1.0,7.352105140686035
burgers,L2,202,0.41010699605980805,0.42868968015771786,710.0602359103148,0.0068091997696434845,39.793442752644395,0.9999805882996075,7.363356590270996
burgers,L2,203,0.39893703678284465,0.38917521856912723,516.47597873936,0.0040502759650202095,30.23402164554301,0.9872635104311278,7.346311807632446
burgers,L3,301,0.22711871302418862,0.30850527032372177,332.5061488681023,0.018722048634454688,39.89169138590284,0.9999999999999999,18.877388954162598
burgers,L3,302,0.21253861834747234,0.280189537353165,266.737999787949,0.019263183888620958,39.85644799868766,0.9999999999999997,18.823597192764282
burgers,L3,303,0.2903721802059453,0.33871308264889166,512.7788144989356,0.015836530411313256,39.941828422921915,1.0,18.82584238052368
burgers,L4,401,0.09127071732314748,0.10588048682514657,26.73035477777795,0.0012931295082031517,3.7241992241753263,0.7515756066902758,44.67706370353699
burgers,L4,402,0.07312617533855491,0.08541174219477846,17.32905808651423,0.0004102610311447654,0.3949144583525468,0.3082358769240619,44.75349688529968
burgers,L4,403,0.10956629997808642,0.12204695396216023,25.15231919192877,0.0023574819164831557,12.402216312767548,0.9465384382173871,44.612106800079346
burgers,L5,501,0.02781131502730994,0.030325583354095596,4.541320969192943,0.001111253898685868,2.6063195530385292,0.7300785166746997,92.95586967468262
burgers,L5,502,0.029707116288674045,0.03242434130065474,4.172725539834785,0.0005331067966190961,0.6051593890927506,0.40721026299209406,93.89352679252625
burgers,L5,503,0.042220221817578805,0.03302986031453474,5.94116029523487,0.0007545395094224316,1.2098816915347883,0.5448237187100993,93.32330346107483
