experiment,condition,seed,global_error,posterior_error,rms_posterior_error,w1_quadrature,w1_mcmc,bfr,posterior_mean,posterior_std,kl_divergence,js_divergence,tv_distance,training_time,notes
Exp1_Phase2_MultiSeed,level1_30ep,101.0,72.99074461455807,60.34999719137603,60.350354791366264,0.15356888149586653,0.15811904816451697,265.4014159587942,0.6603184039959203,0.007464842765830763,38.29997261093202,0.6931471805599454,1.0000000000000002,4.547861337661743,30ep Adam + 0it LBFGS
Exp1_Phase2_MultiSeed,level1_30ep,102.0,86.16252585349494,63.484018541437734,63.484164117698384,0.3271611539184935,0.33235644519426977,565.4077352840411,0.8339106764185483,0.010716475611269339,38.29997261093202,0.6931471805599453,1.0000000000000002,4.5084068775177,30ep Adam + 0it LBFGS
Exp1_Phase2_MultiSeed,level1_30ep,103.0,80.12746195972676,67.02342895853971,67.02376338187587,0.38452034153006215,0.38870318851704033,664.5372559399964,0.8912698640301169,0.008545494240827274,38.29997261093202,0.6931471805599453,1.0000000000000002,4.475320100784302,30ep Adam + 0it LBFGS
Exp1_Phase2_MultiSeed,level1_30ep,104.0,75.25055068890705,64.86990153769916,64.87022625003988,0.27613336513066555,0.27816376795039466,477.22028958788724,0.7828828876307206,0.009816294711194327,38.29997261093202,0.6931471805599452,1.0000000000000002,4.503101825714111,30ep Adam + 0it LBFGS
Exp1_Phase2_MultiSeed,level1_30ep,105.0,84.72603377334056,67.69267264408813,67.69331134588619,0.3625373407223965,0.36668617121935465,626.5457078832059,0.8692868632224524,0.009026903661780881,38.29997261093202,0.6931471805599452,1.0000000000000002,4.514510154724121,30ep Adam + 0it LBFGS
Exp1_Phase2_MultiSeed,level1_30ep,106.0,82.67213781378045,66.02215948280134,66.02227426037301,0.12706732580897268,0.1314856475505355,219.60079322910542,0.6338168483090251,0.009483371420705723,38.299972610931924,0.6931471805599452,1.0000000000000002,4.481857776641846,30ep Adam + 0it LBFGS
Exp1_Phase2_MultiSeed,level1_30ep,107.0,78.82514717298568,66.16840826875323,66.16877146036816,0.49486387287155176,0.49789153476375697,855.2355873640822,1.0016133953716087,0.009613294657228984,38.29997261093202,0.6931471805599452,1.0000000000000002,4.48345685005188,30ep Adam + 0it LBFGS
Exp1_Phase2_MultiSeed,level1_30ep,108.0,76.46782888576493,58.85578646235191,58.856326306378136,0.19043015196121357,0.19410516439624428,329.1059456802437,0.6971796744612663,0.008099115563865354,38.29997261093202,0.6931471805599452,1.0000000000000002,4.512219429016113,30ep Adam + 0it LBFGS
Exp1_Phase2_MultiSeed,level1_30ep,109.0,77.26903540796488,61.02257570798454,61.02311088632915,0.1994613580894876,0.20197206122058936,344.713892231083,0.7062108805895412,0.009226329733925521,38.29997261093202,0.6931471805599454,1.0000000000000004,4.4747772216796875,30ep Adam + 0it LBFGS
Exp1_Phase2_MultiSeed,level1_30ep,110.0,81.73413915151714,66.43897832034092,66.43939129088085,0.5078796204214698,0.5114016995363126,877.729713751292,1.014629142921527,0.015687781863886276,38.29997261093202,0.6931471805599452,1.0000000000000002,4.4752418994903564,30ep Adam + 0it LBFGS
Exp1_Phase2_MultiSeed,level2_100ep,101.0,48.6289664107734,32.61349109044225,32.614190262414475,0.011610003334157081,0.012712046214289958,20.064685593575465,0.5183595258342081,0.005076319158148292,2.7324166996304964,0.37451184105258395,0.7228302625088818,15.113290786743164,100ep Adam + 0it LBFGS
Exp1_Phase2_MultiSeed,level2_100ep,102.0,65.45099079823098,50.69617499951605,50.69660964909423,0.10278748631369237,0.1060914787182507,177.6397935882173,0.6095370088137447,0.006667826284343665,38.299972610932,0.6931471805599452,1.0000000000000002,14.896799802780151,100ep Adam + 0it LBFGS
