sigma_noise,mean_exact_std,mean_w1_research,std_w1_research,mean_w1_control,mean_bfr,std_bfr,median_bfr,mean_bias,mean_abs_bias,mean_var_ratio
0.001,0.0005276983620193665,0.0022555140888440447,6.283346758403541e-05,0.00010390754176877091,23.378939657912404,6.183334405653029,25.582009533569437,-0.002255514088844013,0.002255514088844013,1.1227771528554769
0.005,0.0026416674024517172,0.002114663047054224,0.00016926205179080975,0.00037444074751444924,6.228245366774949,2.1230866932702757,6.3678735317327355,-0.002112812434355438,0.002112812434355438,1.1758076398737634
0.01,0.00551161875570461,0.002199458936476539,0.0008374950606617938,0.0005317473819258582,4.573487881437527,2.499693212237766,3.937977538435476,-0.002193851413102499,0.002193851413102499,0.9888032012650807
0.02,0.011494689794312049,0.002703474359350099,0.0009023636482767205,0.0010225584850114364,2.840988563268179,1.2669361199958042,2.56039986515531,-0.002674363615100539,0.002674363615100539,0.950781759862451
0.05,0.0266039034577486,0.0029158334000788434,0.0012686744531606488,0.002398418248664189,1.574213764365436,1.3298245200093668,1.189508506294953,-0.0005522124859380862,0.002398782443197178,0.9829570500004566
0.1,0.057476910795479494,0.00434036190267823,0.0028959483256252062,0.004904924583529783,0.9468462437257317,0.39347514872773315,1.1690851074768627,-0.0019628444166159276,0.0037559615997006524,0.9853051765787247
