sigma_noise,exact_posterior_mean,exact_posterior_std,pinn_posterior_mean,pinn_posterior_std,mean_bias,bias_in_std_units,w1_quadrature,kl_divergence,calibrated_bfr
0.001,0.5002170096110974,0.0005578742533188189,0.4979588436928857,0.000559972187002035,-0.0022581659182117075,4.047804509309719,0.002258165918211696,8.079280950612086,3.902616378562385
0.005,0.5015753077669642,0.0028035528447180377,0.49938057399712443,0.002814061373354736,-0.0021947337698398073,0.7828401643916716,0.0021947337698411565,0.3024179812923336,3.792991421794678
0.01,0.4998398436179475,0.005560491769164865,0.49784271295482607,0.005591178810493227,-0.0019971306631214047,0.35916439517027743,0.0019971306631225323,0.06362662586979756,3.4514890040513335
0.02,0.5003957056311863,0.011185604878058081,0.49769128375443483,0.01122513656374009,-0.0027044218767514616,0.24177698982166917,0.0027044218767556904,0.02902431285899764,4.673846605181005
0.05,0.47284209579517444,0.025755270006755447,0.4704746725485014,0.025758270007313185,-0.0023674232466730505,0.09191995448124171,0.002367423255960246,0.004318735070418089,4.091437524226156
0.1,0.4933621157977131,0.048730359522834124,0.49062441932644857,0.04895301379996815,-0.002737696471264539,0.05618051042659979,0.0027384071691872835,0.0018035848532345564,4.732580800841349
