delta_log_likelihood,w1_posterior_support_pert,kl_posterior_support_pert,w1_prior_tail_pert,kl_prior_tail_pert,distortion_ratio_post_vs_tail
1.0,0.0011365491094834745,0.05479474324523997,0.0,0.0,1136549109483.4744
3.0,0.005303153107039656,0.7379732439009677,0.0,0.0,5303153107039.656
5.0,0.007750296725052559,2.2187296463660218,0.0,0.0,7750296725052.559
10.0,0.008317285831874056,6.694533973089192,0.0,0.0,8317285831874.056
